Keyword, Count
1397,1
1651,1
1652-1654,1
1658,1
1664-1667,1121
1666-1667,1
1667-1668,1
1672-1678,46
1673,4
1675-1676,1
1678,21184
1678-1679,1
1689-1697,2411
1692,1
1701-1714,9761301
1709,17
1718-1720,1
Aaron,1
Abiezer,1
Abraham,1
Administration of,21261
Administrative,1
Agriculture,4
Agriculture Agricultural education,1
Agriculture Agricultural innovations,1
Agriculture Agriculture,76
Agriculture Animal culture,4
Agriculture Annuities,2
Agriculture Answer to several objections against the Mine-Adventure,1
Agriculture Asgill,1
Agriculture Atlantic herring fisheries,1
Agriculture Attachment and garnishment,2
Agriculture Bampfield,1
Agriculture Banks and banking,1
Agriculture Bateman,1
Agriculture Burges,1
Agriculture Case of the coasting-fishermen of the kingdom of Great Britain,1
Agriculture Caton (Manor : Lancashire),1
Agriculture Charitable uses,1
Agriculture Christian life,1
Agriculture Church lands,6
Agriculture Church of England,1
Agriculture Cider,1
Agriculture Civil law,1
Agriculture Claims against decedents' estates,3
Agriculture Clancarty,1
Agriculture Cleveland,1
Agriculture Coal,1
Agriculture Coal mines and mining,3
Agriculture Coal trade,1
Agriculture Commons,4
Agriculture Company of Free-Fishermen of the River of Thames,2
Agriculture Company of Scotland Trading to Africa and the Indies,1
Agriculture Company of the Royal Fishery of England,9
Agriculture Conveyancing,1
Agriculture Copyhold,2
Agriculture Corporate reorganizations,1
Agriculture Corporation of the Mine Adventurers of England,26
Agriculture Crown lands,1
Agriculture Debts,1
Agriculture Deeds,1
Agriculture Deer hunting,2
Agriculture Depopulation (Criminal law),1
Agriculture Detention of persons,1
Agriculture Distillation,1
Agriculture Drainage,6
Agriculture Drainage laws,1
Agriculture Enfield Chase (London,1
Agriculture England,4
Agriculture Episcopacy,1
Agriculture Estates (Law),1
Agriculture Exeter,1
Agriculture Fens,6
Agriculture Feudal law,1
Agriculture Feudalism,1
Agriculture Finance,1
Agriculture Fish trade,3
Agriculture Fish-culture,2
Agriculture Fisheries,32
Agriculture Fishery law and legislation,4
Agriculture Fishery policy,1
Agriculture Fishing Society (Scotland),2
Agriculture Fishing boats,1
Agriculture Fitzgerald,2
Agriculture Flax,2
Agriculture Flower gardening,1
Agriculture Foreign fishing,2
Agriculture Forest landowners,1
Agriculture Forest surveys,1
Agriculture Forestry law and legislation,5
Agriculture Forests and forestry,13
Agriculture Forfeiture,4
Agriculture Forth,1
Agriculture Frideswide's Meadow (Oxford),1
Agriculture Fruit-culture,8
Agriculture Fuelwood crops,1
Agriculture Galmoy,1
Agriculture Game laws,4
Agriculture Gardening,14
Agriculture Gavelkind,2
Agriculture Governor and Company for Making Hollow-Sword-Blades in England,3
Agriculture Governour and Court of Assistants of the Company of Copper-miners in England,1
Agriculture Grain,1
Agriculture Grain trade,1
Agriculture Great Britain,5
Agriculture Haldane,1
Agriculture Handbooks,1
Agriculture Hawkins,1
Agriculture Herring fisheries,3
Agriculture Herring industry,1
Agriculture Home economics,1
Agriculture Hops,1
Agriculture Horticulture,1
Agriculture Hunting,1
Agriculture Inclosures,7
Agriculture Industrial arts,1
Agriculture Inheritance and succession,2
Agriculture Interest,2
Agriculture Ireland,3
Agriculture Iron,1
Agriculture Irrigation engineering,1
Agriculture Killigrew,1
Agriculture Land capability for agriculture,7
Agriculture Land grants,3
Agriculture Land settlement,1
Agriculture Land tenure,19
Agriculture Land titles,18
Agriculture Land use,1
Agriculture Landlord and tenant,5
Agriculture Landowners,1
Agriculture Lead mines and mining,2
Agriculture Leases,1
Agriculture Legal instruments,1
Agriculture Levellers,2
Agriculture Lindsey,1
Agriculture Livestock,2
Agriculture Lloyd,1
Agriculture Lobster industry,3
Agriculture Mackworth,2
Agriculture Manorial courts,1
Agriculture Manors,3
Agriculture Maritime law,1
Agriculture Mary,1
Agriculture Mensuration,1
Agriculture Metallurgy,3
Agriculture Metals,2
Agriculture Mine safety,1
Agriculture Mineralogy,2
Agriculture Miners,1
Agriculture Mines and mineral resources,9
Agriculture Mining law,2
Agriculture Mulberry,1
Agriculture Newcastle,1
Agriculture Nobility,1
Agriculture Norfolk,1
Agriculture Northumberland peerage claim,1
Agriculture Nurseries (Horticulture),1
Agriculture Oyster fisheries,1
Agriculture Pantograph,1
Agriculture Poaching,1
Agriculture Potatoes,1
Agriculture Powell,2
Agriculture Primatt,2
Agriculture Priorities of claims and liens,1
Agriculture Pryse,1
Agriculture Purveyance,1
Agriculture Ranelagh,2
Agriculture Ready-reckoners,1
Agriculture Real property,3
Agriculture Reasons humbly offer'd for passing the Bill for preventing the importation of fresh fish caught by foreigners,1
Agriculture Reproduction of money,1
Agriculture Respect for persons,1
Agriculture Sainfoin,1
Agriculture Salmon industry,1
Agriculture Salt industry and trade,1
Agriculture Sandes,1
Agriculture Saye and Sele,1
Agriculture Scotland,1
Agriculture Sea-power,1
Agriculture Sericulture,2
Agriculture Sewerage,1
Agriculture Shiers,1
Agriculture Silver mines and mining,1
Agriculture Soil productivity,1
Agriculture Some reflections on Mr. Asgill's Essay on a registry for titles of lands,1
Agriculture Steam-engines,1
Agriculture Surveying,9
Agriculture Tariff on farm produce,1
Agriculture Tin mines and mining,1
Agriculture Tithes,1
Agriculture To the King's most excellent Majesty. The humble address of the nobility,1
Agriculture Tobacco,2
Agriculture Trees,1
Agriculture United States,1
Agriculture Vanden Bemde,1
Agriculture Vegetable gardening,1
Agriculture Vendors and purchasers,1
Agriculture Vermuyden,2
Agriculture Veterinary medicine,1
Agriculture Viticulture,1
Agriculture Waller,1
Agriculture Water-supply,1
Agriculture Well-wisher to the publick interest of the nation,1
Agriculture Whaling,2
Agriculture Willoughby,1
Agriculture Wool industry,1
Alexander,1
Algernon Percy,1
Andrew,1
Angela Margarita,1
Anthony,1
Anthony Ashley Cooper,1
Archibald,213
Archibald Campbell,1
Armand Boisbeleau de,1
Arthur,1
Battle of,11
Battle of the,1
Benjamin,1111
Bishopsgate (Church : London,1
Blaise-Henri de Corte,1
Books Before 1600 Agriculture,1
Books Before 1600 Bee culture,1
Books Before 1600 Bread,1
Books Before 1600 Dyes and dyeing,1
Books Before 1600 Fish ponds,1
Books Before 1600 Fish-culture,1
Books Before 1600 Industrial arts,1
Books Before 1600 London (England),1
Books Before 1600 Poets,1
Books Before 1601 Agriculture,1
Books Before 1601 Interest,1
British,12
Capell,1
Carbery,1
Carl,1
Charles,41111111111
Charles Gerard,2
Charles Montagu,1
Charles Mordaunt,1
Charles Talbot,1
Charles Townshend,1
Christopher,12
Christopher Monck,1
Colonies America,1
Colonies Bahamas,1
Colonies Banks and banking,4
Colonies Barbados,3
Colonies Christian education of children,1
Colonies Clifford,4
Colonies Free Society of Traders in Pennsylvania,1
Colonies God,1
Colonies Great Britain,3
Colonies Guiana,1
Colonies Hamilton,2
Colonies Indians of North America,1
Colonies Insurance,1
Colonies Iron industry and trade,3
Colonies Jamaica,2
Colonies Land tenure,1
Colonies Law,3
Colonies Lutheran Church,1
Colonies Madagascar,1
Colonies Massachusetts,1
Colonies Missions,1
Colonies Missions to African Americans,2
Colonies Mississippi River Valley,1
Colonies Newfoundland and Labrador,2
Colonies North Carolina,1
Colonies Panama,1
Colonies Royal African Company,1
Colonies Saint Helena,1
Colonies Salt industry and trade,1
Colonies Slave trade,1
Colonies Soto,1
Colonies South Carolina,2
Colonies Southern States,1
Colonies Sugar trade,2
Colonies Sugarcane industry,1
Colonies Tariff on sugar,2
Colonies Tin,1
Colonies Tobago,2
Colonies United States,2
Colonies Virginia,2
Commerce,7
Commerce Abell,2
Commerce Accounting,2
Commerce Adventure (Merchant Ship),1
Commerce Adventurers to Affrica (Firm),1
Commerce Africa,1
Commerce Albemarle,1
Commerce Aliens,3
Commerce Alum industry,2
Commerce Ambon Island (Indonesia),1
Commerce Anglo-Dutch War,1
Commerce Animal industry,1
Commerce Answer to the most material objections that have been raised against restraining the East-India trade,1
Commerce Antelope (Packet),1
Commerce Army-Navy stores,1
Commerce Avery,1
Commerce Bakers and bakeries,2
Commerce Balance of trade,12
Commerce Barbados,1
Commerce Bartholomew Fair,1
Commerce Beef industry,1
Commerce Beer,2
Commerce Belgium,2
Commerce Bethel,1
Commerce Bills of exchange,1
Commerce Boards of trade,1
Commerce Bobbin lace,1
Commerce Bookkeeping,4
Commerce Brandy,4
Commerce Brass industry and trade,1
Commerce Bread,2
Commerce Bread industry,1
Commerce Brewing industry,3
Commerce Bristol (England),1
Commerce Brokers,1
Commerce Buccaneers,1
Commerce Building materials,1
Commerce Burial laws,1
Commerce Business,1
Commerce Business ethics,3
Commerce Butter,1
Commerce Button industry,2
Commerce Carriages and carts,1
Commerce Casa de Contratacií_n (Spain),3
Commerce Cattle,1
Commerce Cattle trade,2
Commerce Chair caning,2
Commerce Charles,1
Commerce Charles (Ship),2
Commerce Chidley,1
Commerce Child,1
Commerce Christian life,1
Commerce Church of England,1
Commerce City of London (England),1
Commerce Claims against decedents' estates,2
Commerce Claret,2
Commerce Clay industries,1
Commerce Clothing trade,4
Commerce Clowdesley,1
Commerce Coal,10
Commerce Coal trade,3
Commerce Cochineal,2
Commerce Cocoa,1
Commerce Codfish,1
Commerce Commerce,19
Commerce Commercial agents,2
Commerce Commercial law,2
Commerce Commercial products,1
Commerce Commissioners of supply (Scotland),1
Commerce Compagnie des Indes orientales,1
Commerce Company of Merchant Adventurers of England,17
Commerce Company of Merchants of England Trading to the Levant,11
Commerce Company of Scotland Trading to Africa and the Indies,26
Commerce Conduct of life,1
Commerce Considerations upon the trade to Guinea,1
Commerce Copper industry and trade,5
Commerce Corn industry,1
Commerce Corporation law,1
Commerce Corporation of London (England),3
Commerce Corso,1
Commerce Council of Trade (Scotland),1
Commerce Courten,7
Commerce Crow,1
Commerce Cuming,1
Commerce Customs administration,4
Commerce Davenant,4
Commerce Davenport,1
Commerce Debts,1
Commerce Dee,1
Commerce Defoe,3
Commerce Dice,1
Commerce Dorrill,1
Commerce Drainage,1
Commerce Drawbacks,2
Commerce Duty-free importation,1
Commerce Dyers' Company (London,1
Commerce East India Company,101
Commerce Eastland Company,2
Commerce Embargo,1
Commerce England,4
Commerce England and Wales,10
Commerce English Company Trading to the East-Indies,2
Commerce Exchange,1
Commerce Exeter Fair,1
Commerce Fans,1
Commerce Finance,1
Commerce Fish trade,1
Commerce Fisheries,1
Commerce Flags,1
Commerce Food industry and trade,1
Commerce Food law and legislation,1
Commerce Food prices,6
Commerce Food supply,5
Commerce Foreign enlistment,1
Commerce Foreign trade regulation,11
Commerce Foyer,1
Commerce France,5
Commerce Free ports and zones,2
Commerce Free trade,2
Commerce Freedom of the press,1
Commerce Fruit trade,1
Commerce Gambia River,1
Commerce Gentleman in the country,1
Commerce Gibraltar,1
Commerce Glass manufacture,1
Commerce Governour and Company of Merchants Trading to the Canaria-Islands,1
Commerce Grain,1
Commerce Grain trade,4
Commerce Grand Alliance,2
Commerce Great Britain,189
Commerce Grocers' Company (London,1
Commerce Halifax,1
Commerce Harbors,2
Commerce Harris,1
Commerce Hellen,1
Commerce Hides and skins industry,1
Commerce Hotels,1
Commerce Hudson's Bay Company,1
Commerce HíÇpital des Incurables de Paris (Paris,1
Commerce India,1
Commerce Indonesia,2
Commerce Interest,1
Commerce Ireland,3
Commerce Iron industry and trade,2
Commerce Isle of Man,1
Commerce Jencks,1
Commerce Jewish merchants,1
Commerce Jews,1
Commerce John (Ship),1
Commerce Joint ventures,1
Commerce Joseph,1
Commerce Kilvert,1
Commerce King Ferdinando (Ship),1
Commerce Larceny,1
Commerce Law merchant,4
Commerce Leadstone,1
Commerce Leather industry and trade,5
Commerce Lent,7
Commerce Linen,2
Commerce Linen industry,5
Commerce Liquor laws,1
Commerce Liquors,1
Commerce Lumbermen,1
Commerce Mackenzie,1
Commerce Maritime law,13
Commerce Markets,2
Commerce Martha (Ship : 1696?),1
Commerce Martyn,1
Commerce Massacres,2
Commerce Meat industry and trade,6
Commerce Mediterranean Sea,1
Commerce Merchant marine,4
Commerce Merchant mariners,2
Commerce Merchant ships,3
Commerce Merchants,211
Commerce Molasses industry,1
Commerce Molyneux,1
Commerce Monopolies,7
Commerce Morocco,1
Commerce Municipal charters,1
Commerce Municipal corporations,2
Commerce Muscovy Company,3
Commerce Natural history,1
Commerce Nautical charts,1
Commerce Naval convoys,1
Commerce Navigation,1
Commerce Nederlandsche Oost-Indische Compagnie,2
Commerce Netherlands,6
Commerce Neutral trade with belligerents,1
Commerce New Caledonia (Colony),9
Commerce Objections to the Bill for establishing the trade to Africa in a regulated company,1
Commerce Office of Publick Advice (London,1
Commerce Ordnance,1
Commerce Oxenden,1
Commerce Paper industry,3
Commerce Peddlers and peddling,1
Commerce Pennsylvania,1
Commerce Pepper (Spice),1
Commerce Pergens,1
Commerce Pharmaceutical industry,1
Commerce Pins and needles,1
Commerce Plague,2
Commerce Plantation owners,1
Commerce Political parties,1
Commerce Pollexfen,1
Commerce Portland,1
Commerce Pottery,21
Commerce Povey,1
Commerce Powell,1
Commerce Precious metals,2
Commerce Prices,17
Commerce Printing,1
Commerce Printing industry,1
Commerce Prior,1
Commerce Privateering,5
Commerce Privateers,1
Commerce Prize law,1
Commerce Protectionism,2
Commerce Publique Register for Generall Commerce (England and Wales),1
Commerce Raleigh,1
Commerce Retail trade,1
Commerce Rigby,3
Commerce Romney Marsh (England),1
Commerce Rope trade,1
Commerce Royal African Company,87
Commerce Royal Lustring Company (London,1
Commerce Sailors,2
Commerce Saint Kitts and Nevis,1
Commerce Sale of public office,1
Commerce Salt industry and trade,2
Commerce Salted fish,2
Commerce Saltpeter,3
Commerce Scotland,20
Commerce Scots,1
Commerce Sea control,5
Commerce Sea-power,4
Commerce Seizure of vessels and cargoes,1
Commerce Sermons,1
Commerce Ship captains,1
Commerce Ship registers,2
Commerce Shipping,4
Commerce Ships,2
Commerce Shoes,1
Commerce Silk,1
Commerce Silk industry,24
Commerce Skinner,1
Commerce Slave labor,1
Commerce Slave trade,14
Commerce Slaves,1
Commerce Smuggling,2
Commerce South Sea Company,17
Commerce Spain,2
Commerce Spanish Succession,9
Commerce Spice trade,1
Commerce Staple system,1
Commerce Starch industry,2
Commerce Stock exchanges,1
Commerce Success (Ship),1
Commerce Sugar,1
Commerce Sugar trade,1
Commerce Sweden,1
Commerce Tangier (Morocco),1
Commerce Tar,1
Commerce Tariff,8
Commerce Tariff on books,1
Commerce Tariff on textile fabrics,3
Commerce Tariff on wine,1
Commerce Tenche,1
Commerce Textile industry,6
Commerce Thames River (England),1
Commerce Thread,2
Commerce Tin,1
Commerce Tin industry,1
Commerce Tobacco,7
Commerce Tobacco industry,2
Commerce Tonnage fees,1
Commerce Towne,1
Commerce Trade regulation,2
Commerce Trading companies,7
Commerce Trials (Conspiracy),1
Commerce Turpentine industry and trade,1
Commerce United Company,1
Commerce Vintners,1
Commerce War,11
Commerce Ward,1
Commerce Warner,2
Commerce Wealth,1
Commerce Weavers,1
Commerce Weights and measures,2
Commerce Weltden,1
Commerce White,2
Commerce Winchcombe,1
Commerce Wine,16
Commerce Wine and wine making,13
Commerce Wine industry,5
Commerce Wire products industry,1
Commerce Wives,1
Commerce Wool,3
Commerce Wool industry,67
Commerce Wool industry and trade,1
Concino,1
Constantine,1
Corn Laws Corn laws (Great Britain),1
Corn Laws Distilling industries,1
Corn Laws Grain,1
Corn Laws Grain trade,7
Cornelius,12
Cyprian,1
Daniel,324163
Danish,1
David,13
Declaration of,1
Disabled,1
Distillation of,2
Dorothy,11
Dutch,1
Ecclesiastical,33
Edible,1
Edmund,21111
Edmund Berry,2
Edward,1211111211
Edward Griffin,1
Elizabeth,12
Elizabeth Maccarthy,1
England,1
England),1111183411116231111121131141111111122121
English,111131111122
Ethics of,11
Europe,3
Eustace,1
Farming of,22
Fifteenth Century Africa,1
Fifteenth Century Agriculture,1
Fifteenth Century Arithmetic,1
Fifteenth Century Bookkeeping,1
Fifteenth Century Charity,1
Fifteenth Century Chicken industry,1
Fifteenth Century Church of England,1
Fifteenth Century Customs administration,1
Fifteenth Century Fertilizers,1
Fifteenth Century Fisheries,2
Fifteenth Century Florence (Italy),1
Fifteenth Century Forestry law and legislation,1
Fifteenth Century Great Britain,3
Fifteenth Century Inventions,1
Fifteenth Century Italy,1
Fifteenth Century Justices of the peace,1
Fifteenth Century Kent (England),1
Fifteenth Century Marriage,1
Fifteenth Century Plants,1
Fifteenth Century Poor,1
Fifteenth Century Prizes,1
Fifteenth Century Reformation,1
Fifteenth Century Reversion,1
Fifteenth Century Spain,1
Fifteenth Century Spice trade,1
Fifteenth Century Taxation,1
Fifteenth Century Universities and colleges,1
Fifteenth Century Usury,3
Fifteenth Century Wheat trade,1
Finance,3
Finance Accounting,2
Finance Administration of estates,2
Finance Adulterated coins,1
Finance Agricultural credit,2
Finance Agriculture,1
Finance Alcoholic beverages,4
Finance Ale,2
Finance Aliens,1
Finance Ames,1
Finance Anglo-Dutch War,1
Finance Annuities,2
Finance Archives,1
Finance Argument to shew the disadvantage that would accrue to the publick,1
Finance Arithmetic,3
Finance Asgill,1
Finance Auditors,1
Finance Audley,1
Finance Bank capital,2
Finance Bank dialogue between Dr. H.C. and a country gentleman,2
Finance Bank notes,1
Finance Bank of Credit (London,8
Finance Bank of England,41
Finance Bank of Scotland,3
Finance Bankruptcy,6
Finance Banks and banking,34
Finance Beds,3
Finance Beer,11
Finance Benefices,3
Finance Bible,2
Finance Bills of exchange,5
Finance Blacker,1
Finance Blunt,2
Finance Boit,1
Finance Bookkeeping,10
Finance Bounties,1
Finance Bradley,1
Finance Branch banks,2
Finance Brandy,2
Finance Bread,2
Finance Brewing industry,2
Finance Bribery,1
Finance Briscoe,3
Finance British Mercury,1
Finance Brokers,5
Finance Brooke,2
Finance Budgell,1
Finance Building laws,1
Finance Building materials,1
Finance Business,1
Finance Business mathematics,1
Finance Cab and omnibus service,1
Finance Calico-printing,1
Finance Candles,4
Finance Cards,3
Finance Case of the auditors and receivers of His Majesty's revenue,1
Finance Case of the free-holders and miners of and within the respective parishes of Asheover,1
Finance Catholics,1
Finance Chamberlen,2
Finance Charitable Corporation (London,3
Finance Child,1
Finance Church,1
Finance Church and state,2
Finance Church finance,2
Finance Church lands,8
Finance Church maintenance and repair,3
Finance Church of England,7
Finance Church property,2
Finance City of London (England),3
Finance Civil list,2
Finance Clay industries,1
Finance Clayton,1
Finance Clement,4
Finance Clergy,1
Finance Clothing and dress,1
Finance Clothing trade,1
Finance Coach drivers,1
Finance Coal,5
Finance Cocoa,2
Finance Coffee,1
Finance Coinage,70
Finance Coins,111
Finance Collecting of accounts,2
Finance Commerce,2
Finance Compagnie des Indes,1
Finance Company of Scotland Trading to Africa and the Indies,2
Finance Company of White-Paper-Makers,1
Finance Constables,1
Finance Contracts,1
Finance Cony,1
Finance Cooke,1
Finance Copper coins,4
Finance Cordage industry,1
Finance Cornstarch,1
Finance Corporation law,1
Finance Corporation of London,1
Finance Corporation of the Mine Adventurers of England,2
Finance Costs (Law),1
Finance Counterfeiters,1
Finance Counterfeits and counterfeiting,1
Finance Courten,2
Finance Cox,1
Finance Credit,10
Finance Cromwell,1
Finance Crookshanks,1
Finance Crown lands,1
Finance Culpepper,1
Finance Currency question,83
Finance Customs administration,16
Finance Dacre,1
Finance Damages,1
Finance Davenport,1
Finance Debt,1
Finance Debt relief,3
Finance Debtor and creditor,5
Finance Debts,54
Finance Default (Finance),2
Finance Defoe,2
Finance Devaluation of currency,5
Finance Drugs,1
Finance Duty-free importation,1
